[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 515362878, 'fix_type': 3, 'lat': 462880963, 'lon': 213603757, 'alt': 109320, 'eph': 86, 'epv': 114, 'vel': 71, 'cog': 19950, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 860, 'v_acc': 1140, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 515892959, 'fix_type': 3, 'lat': 462880930, 'lon': 213603709, 'alt': 109530, 'eph': 87, 'epv': 114, 'vel': 97, 'cog': 21030, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 870, 'v_acc': 1140, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 516422602, 'fix_type': 3, 'lat': 462880906, 'lon': 213603691, 'alt': 109590, 'eph': 88, 'epv': 115, 'vel': 88, 'cog': 20610, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 880, 'v_acc': 1150, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 517480692, 'fix_type': 3, 'lat': 462880816, 'lon': 213603618, 'alt': 109750, 'eph': 94, 'epv': 119, 'vel': 110, 'cog': 20880, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 940, 'v_acc': 1190, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 518009514, 'fix_type': 3, 'lat': 462880790, 'lon': 213603601, 'alt': 109770, 'eph': 96, 'epv': 121, 'vel': 70, 'cog': 20690, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 960, 'v_acc': 1210, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 518537826, 'fix_type': 3, 'lat': 462880748, 'lon': 213603533, 'alt': 109840, 'eph': 99, 'epv': 124, 'vel': 110, 'cog': 22500, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 990, 'v_acc': 1240, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 519066327, 'fix_type': 3, 'lat': 462880711, 'lon': 213603485, 'alt': 109820, 'eph': 102, 'epv': 126, 'vel': 97, 'cog': 22540, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1020, 'v_acc': 1260, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 519595292, 'fix_type': 3, 'lat': 462880687, 'lon': 213603436, 'alt': 109780, 'eph': 105, 'epv': 128, 'vel': 128, 'cog': 23260, 'satellites_visible': 13, 'alt_ellipsoid': 0, 'h_acc': 1050, 'v_acc': 1280, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 520124313, 'fix_type': 3, 'lat': 462880654, 'lon': 213603382, 'alt': 109810, 'eph': 108, 'epv': 130, 'vel': 85, 'cog': 22840, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1080, 'v_acc': 1300, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 520653590, 'fix_type': 3, 'lat': 462880642, 'lon': 213603345, 'alt': 109830, 'eph': 109, 'epv': 131, 'vel': 79, 'cog': 23970, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1090, 'v_acc': 1310, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 521183601, 'fix_type': 3, 'lat': 462880617, 'lon': 213603256, 'alt': 109910, 'eph': 113, 'epv': 134, 'vel': 114, 'cog': 24370, 'satellites_visible': 14, 'alt_ellipsoid': 0, 'h_acc': 1130, 'v_acc': 1340, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
