[0] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2923312553, 'fix_type': 3, 'lat': 462865373, 'lon': 213863903, 'alt': 128700, 'eph': 190, 'epv': 283, 'vel': 14, 'cog': 11050, 'satellites_visible': 11, 'alt_ellipsoid': 0, 'h_acc': 1900, 'v_acc': 2830, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[1] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2923836427, 'fix_type': 3, 'lat': 462865376, 'lon': 213863899, 'alt': 128540, 'eph': 190, 'epv': 282, 'vel': 14, 'cog': 11050, 'satellites_visible': 11, 'alt_ellipsoid': 0, 'h_acc': 1900, 'v_acc': 2820, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[2] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2924361895, 'fix_type': 3, 'lat': 462865376, 'lon': 213863895, 'alt': 128470, 'eph': 191, 'epv': 282, 'vel': 3, 'cog': 11050, 'satellites_visible': 11, 'alt_ellipsoid': 0, 'h_acc': 1910, 'v_acc': 2820, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[3] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2924886295, 'fix_type': 3, 'lat': 462865380, 'lon': 213863890, 'alt': 128310, 'eph': 192, 'epv': 283, 'vel': 8, 'cog': 11050, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 1920, 'v_acc': 2830, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[4] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2925410944, 'fix_type': 3, 'lat': 462865382, 'lon': 213863886, 'alt': 128240, 'eph': 193, 'epv': 283, 'vel': 0, 'cog': 11050, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 1930, 'v_acc': 2830, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[5] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2925935800, 'fix_type': 3, 'lat': 462865386, 'lon': 213863885, 'alt': 128210, 'eph': 194, 'epv': 284, 'vel': 6, 'cog': 11050, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 1940, 'v_acc': 2840, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[6] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2926457804, 'fix_type': 3, 'lat': 462865388, 'lon': 213863882, 'alt': 128130, 'eph': 195, 'epv': 285, 'vel': 2, 'cog': 11050, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 1950, 'v_acc': 2850, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[7] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2926982572, 'fix_type': 3, 'lat': 462865392, 'lon': 213863880, 'alt': 128100, 'eph': 196, 'epv': 285, 'vel': 6, 'cog': 11050, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 1960, 'v_acc': 2850, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[8] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2927505769, 'fix_type': 3, 'lat': 462865397, 'lon': 213863880, 'alt': 128070, 'eph': 197, 'epv': 286, 'vel': 4, 'cog': 11050, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 1970, 'v_acc': 2860, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[9] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2928030954, 'fix_type': 3, 'lat': 462865403, 'lon': 213863880, 'alt': 128030, 'eph': 198, 'epv': 287, 'vel': 1, 'cog': 11050, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 1980, 'v_acc': 2870, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[10] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2928554175, 'fix_type': 3, 'lat': 462865403, 'lon': 213863879, 'alt': 128000, 'eph': 199, 'epv': 287, 'vel': 2, 'cog': 11050, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 1990, 'v_acc': 2870, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[11] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2929078148, 'fix_type': 3, 'lat': 462865405, 'lon': 213863878, 'alt': 127990, 'eph': 200, 'epv': 288, 'vel': 10, 'cog': 11050, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2000, 'v_acc': 2880, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[12] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2930126085, 'fix_type': 3, 'lat': 462865410, 'lon': 213863872, 'alt': 127830, 'eph': 201, 'epv': 289, 'vel': 21, 'cog': 11050, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2010, 'v_acc': 2890, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[13] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2930650241, 'fix_type': 3, 'lat': 462865423, 'lon': 213863866, 'alt': 127740, 'eph': 202, 'epv': 289, 'vel': 12, 'cog': 11050, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2020, 'v_acc': 2890, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[14] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2931174144, 'fix_type': 3, 'lat': 462865438, 'lon': 213863857, 'alt': 127620, 'eph': 204, 'epv': 289, 'vel': 3, 'cog': 1920, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2040, 'v_acc': 2890, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[15] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2931698600, 'fix_type': 3, 'lat': 462865438, 'lon': 213863849, 'alt': 127390, 'eph': 205, 'epv': 289, 'vel': 14, 'cog': 1920, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2050, 'v_acc': 2890, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[16] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2932222776, 'fix_type': 3, 'lat': 462865435, 'lon': 213863848, 'alt': 127330, 'eph': 207, 'epv': 290, 'vel': 14, 'cog': 1920, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2070, 'v_acc': 2900, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[17] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2932747533, 'fix_type': 3, 'lat': 462865420, 'lon': 213863841, 'alt': 127080, 'eph': 210, 'epv': 293, 'vel': 16, 'cog': 1920, 'satellites_visible': 10, 'alt_ellipsoid': 0, 'h_acc': 2100, 'v_acc': 2930, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[18] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2933270794, 'fix_type': 3, 'lat': 462865408, 'lon': 213863833, 'alt': 126910, 'eph': 211, 'epv': 295, 'vel': 34, 'cog': 5500, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2110, 'v_acc': 2950, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[19] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2933793762, 'fix_type': 3, 'lat': 462865408, 'lon': 213863833, 'alt': 126960, 'eph': 212, 'epv': 296, 'vel': 20, 'cog': 5500, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2120, 'v_acc': 2960, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[20] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2934318207, 'fix_type': 3, 'lat': 462865414, 'lon': 213863837, 'alt': 126670, 'eph': 213, 'epv': 298, 'vel': 16, 'cog': 5500, 'satellites_visible': 9, 'alt_ellipsoid': 0, 'h_acc': 2130, 'v_acc': 2980, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[21] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2934843235, 'fix_type': 3, 'lat': 462865421, 'lon': 213863827, 'alt': 126760, 'eph': 215, 'epv': 299, 'vel': 11, 'cog': 35590, 'satellites_visible': 8, 'alt_ellipsoid': 0, 'h_acc': 2150, 'v_acc': 2990, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
[22] [GPS_RAW_INT] {'mavpackettype': 'GPS_RAW_INT', 'time_usec': 2935367943, 'fix_type': 3, 'lat': 462865398, 'lon': 213863836, 'alt': 126880, 'eph': 217, 'epv': 298, 'vel': 23, 'cog': 28060, 'satellites_visible': 8, 'alt_ellipsoid': 0, 'h_acc': 2170, 'v_acc': 2980, 'vel_acc': 0, 'hdg_acc': 0, 'yaw': 0}
